Workout Title,Category,Routine Link,Tables,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
Body Fat Demolition: 8 Week Workout to Destroy Body Fat,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-body-fat-demolition-workout,"[{'title': 'Monday: Upper Body Workout', 'content': [[], ['Single Arm Dumbbell Row', '4', '6-8 Each'], ['Incline Dumbbell Bench Press', '3', '8-12'], ['Lat Pull Down', '3', '8-12'], ['Cable Lateral Raise', '3', '8-12'], ['Incline Dumbbell Curl', '3', '12-15'], ['French Press', '3', '12-15']]}, {'title': 'Tuesday: Lower Body Workout', 'content': [[], ['Back Squat', '4', '6-8'], ['Dumbbell Lunge', '3', '6-8'], ['Hip Thrust', '3', '8-12'], ['Leg Curl', '3', '12-15'], ['Calf Raises', '5', '15-20']]}, {'title': 'Wednesday: Upper Body Workout', 'content': [[], ['Pull Up', '4', '6-8'], ['Decline Hammer Machine Press', '3', '8-12'], ['Cable Row', '3', '8-12'], ['Dumbbell Shoulder Press', '3', '8-12'], ['Preacher Curl', '3', '12-15'], ['Skull Crusher', '3', '12-15']]}, {'title': 'Thursday: Lower Body Workout', 'content': [[], ['Hack Squat', '3', '6-8'], ['Leg Extension', '3', '8-12'], ['Dumbbell RDLs', '3', '6-8'], ['Seated Leg Curls', '3', '8-12'], ['Calf Raises', '5', '15-20']]}, {'title': 'Saturday: Full Body Workout', 'content': [[], ['Trap Bar Deadlift', '4', '6-8'], ['Dips', '4', '8-12'], ['Lat Pull Down', '4', '8-12'], ['Machine Row', '3', '8-12'], ['Cable Curl', '3', '12-15']]}]",Lose Fat,Full Body,Beginner,6 weeks,3,20-35 minutes,Bodyweight,Male & Female,"Whey Protein, Fish Oil, Multivitamin"
Summer Burn: 12 Week Fat Melting Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/summer-burn-12-week-fat-melting-workout,"[{'title': 'Monday: Chest, Biceps, Forearms, & Abs', 'content': [[], ['1. Incline Bench Press', '2/0/1', '2*', '7-9'], ['2. Dumbbell Bench Press', '2/0/1', '2*', '7-9'], ['3a. Incline Dumbbell Fly', '2/0/1', '2', '10-12'], ['3b. Cable Crossover', '1/0/1/1', '2', '10-12'], ['4. EZ Bar Preacher Curl', '2/0/1', '1*', '7-9'], ['5. Barbell Curl', '2/0/1', '1*', '7-9'], ['6a. High Cable Curl', '1/0/1', '2', '7-9'], ['6b. Standing Alternating Dumbbell Curl', '1/1/1', '2', '7-9'], ['7. Reverse Barbell Curl', '2/0/1', '1*', '10-12'], ['8a. Barbell Reverse Wrist Curl', '1/0/1', '1', '13-15'], ['8b. Barbell Wrist Curl', '1/0/1', '1', '13-15'], ['9. Cable Crunch', '1/0/1/1', '2', '16-20'], ['10a. Hanging Leg Raise', '1/0/1', '1', 'Max Reps'], ['10b. Seated Bench Knee Ups', '1/0/1', '1', 'Max Reps']]}, {'title': 'Tuesday: Quads, Hamstrings, & Calves', 'content': [[], ['1. Barbell Back Squat', '2/0/1', '2*', '7-9'], ['2. Leg Press', '2/0/1', '2*', '7-9'], ['3a. Leg Extension', '2/0/1/1', '2', '10-12'], ['3b. Walking Barbell Lunge', '2/0/1', '2', '10-12 Each'], ['4. Lying Leg Curl', '2/0/1/1', '2*', '7-9'], ['5a. Adduction Machine', '1/0/1/1', '2', '16-20'], ['5b. Stiff Leg Deadlift', '2/0/1', '2', '10-12'], ['6. Standing Calf Raise', '1/1/1/1', '1*', '7-9'], ['7a. Seated Calf Raise', '1/0/1/1', '2', '7-9'], ['7b. Calf Press', '1/1/1', '2', '10-12']]}, {'title': 'Thursday: Lats, Lower Back, & Abs', 'content': [[], ['1. Seated Cable Row', '1/0/1/1', '2*', '7-9'], ['2. Reverse Grip Bent Over Row', '1/0/1/1', '2*', '7-9'], ['3a. Dumbbell Pullover', '1/0/1', '2', '10-12'], ['3b. T-Bar Row', '1/0/1', '2', '7-9'], ['4. Weighted Hyperextension', '1/0/1/1', '1*', '13-15'], ['5a. Deadlift', '1/1/1', '1', '7-9'], ['5b. Bodyweight Hyperextensions', '1/0/1/1', '1', 'Max Reps'], ['6. Weighted Ab Crunch', '1/0/1/1', '1*', '16-20'], ['7a. Lying Leg Raise', '1/0/1/1', '2', 'Max Reps'], ['7b. Oblique Crunch', '1/0/1', '2', '16-20 Each']]}, {'title': 'Friday: Shoulders, Traps, Triceps, & Calves', 'content': [[], ['1. Cable Face Pulls', '1/0/1/1', '2*', '10-12'], ['2. Lateral Raises', '1/0/1', '2*', '10-12'], ['3a. Seated Dumbbell Press', '2/0/1', '2', '7-9'], ['3b. Barbell Front Raise', '1/0/1', '2', '7-9'], ['4. Barbell Shrug', '1/0/1/1', '2*', '10-12'], ['5a. Upright Row', '1/0/1/1', '2', '7-9'], ['5b. Seated Dumbbell Shrug', '1/0/1/1', '2', '7-9'], ['6. Straight Bar Pushdown', '1/0/1/1', '1*', '10-12'], ['7. Skullcrusher', '2/0/1', '2*', '7-9'], ['8a. Seated One Arm Dumbbell Extrension', '2/0/1', '2', '7-9'], ['8b. Close Grip Bench Press', '3/0/1', '2', '7-9'], ['9. Seated Calf Raise', '1/0/1', '2*', '10-12'], ['10a. Calf Press', '1/0/1/1', '1', '7-9'], ['10b. Standing Calf Raise', '1/0/1/1', '1', '7-9']]}]",Build Muscle,Full Body,Intermediate,12 weeks,5,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,
Return to Ripped: 6 Week Fat Loss Workout Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/return-to-ripped,"[{'title': 'Return to Ripped Day 1: Chest and Shoulders', 'content': [[], ['Incline Dumbbell Fly', '3', '8-12', '1min'], ['Flat Barbell Bench Press', '3', '8-12', '1min'], ['Pushup with Band or Feet Elevated', '3', '10-12', '1min'], ['Barbell Front Raise', '3', '8-12', '45s'], ['Seated Lateral Raise', '3', '8-12', '45s'], ['Band Pull-Apart', '3', '10-12', '45s']]}, {'title': 'Return to Ripped Day 2: Legs', 'content': [[], ['Deadlift', '4', '8-12', '1min'], ['Lying Leg Curl*', '3', '10-12', '1min'], ['Walking Lunge', '3', '12', '45s'], ['Goblet Squat', '3', '10-12', '1min'], ['Single Leg Squat', '3', '12', '45s'], ['Leg Extension*', '3', '12', '45s'], ['Seated Calf Raise', '3', '15', '45s'], ['Single Leg Standing Calf Raise', '3', '15', '45s'], ['*Machine, Bands, or Dumbbell Between Feet']]}, {'title': 'Return to Ripped Day 3: Back and Abs', 'content': [[], ['Dumbbell or Barbell Pullover', '4', '8-12', '1min'], ['Two-Arm Dumbbell Row', '3', '8-12', '1min'], ['Single Arm Lat Pulldown*', '3', '10-12', '1min'], ['Dumbbell Reverse Fly', '3', '10-12', '45s'], ['Superman', '3', '10', '45s'], ['Lying Leg Raise', '3', '12', '45s'], ['Crunches', '3', '12', '45s'], ['Side Plank (each side)', '3', '20-30s', '45s'], ['*Machine or Band']]}, {'title': 'Return to Ripped Day 4: Arms', 'content': [[], ['Barbell Curl', '3', '8-12', '45s'], ['Lying Tricep Extensions', '3', '8-12', '45s'], ['Hammer Curl', '3', '10-12', '45s'], ['Tricep Kickback', '3', '10-12', '45s'], ['Band or Cable Curl', '3', '12', '45s'], ['Cable or Band Pressdown*', '3', '12', '45s'], ['*Substitute Close Grip Pushup if you can’t do this exercise.']]}]",Lose Fat,Split,Intermediate,6 weeks,6,30-75 minutes,"Bands, Barbell, Dumbbells, Kettle Bells, Medicine Ball",Male & Female,"Whey Protein Isolate, BCAA 2:1:1, Citrulline Malate, Kre-Alkalyn"
Body Blaster: Full Body Fat Loss Workout (No Equipment Necessary),https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/6-week-bodyweight-only-workout,"[{'title': 'Day 1: Every Minute On the Minute (EMOM)', 'content': [[], ['Sprint', '15 Seconds', '*'], ['Burpees', '15', '*'], ['Squat Jumps', '15', '*'], ['Walking Lunges', '8 Per Leg', '*'], ['Frog Sit Up', '15', '*'], ['Pushups', '15', '*'], ['Mountain Climbers', '15 Per Leg', '*'], ['Arm Circles', '15 Seconds', '*'], ['Shadow Boxing Combination', '15 Seconds', '*'], ['*Rest for remainder of minute between exercises']]}, {'title': 'Day 2: Circuit Training', 'content': [[], ['Sprint', '15 Seconds'], ['Burpees', '15'], ['Squat Jumps', '15'], ['Walking Lunges', '8 Per Leg'], ['Frog Sit Up', '15'], ['Pushups', '15'], ['Mountain Climbers', '15 Per Leg'], ['Arm Circles', '15 Seconds'], ['Shadow Boxing Combination', '15 Seconds']]}]",Lose Fat,Split,Intermediate,12 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar",Male & Female,
The Ripped Freak Training Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/ripped-freak-training-program,"[{'title': '5 Minute Ripped Solution', 'content': [[], ['0-30', 'Jump Squats', '10'], ['30-90', 'Walk Around/Recover', '2-3'], ['90-120', 'Burpees', '10'], ['120-180', 'Walk Around/Recover', '2-3'], ['180-210', 'Mountain Climbers', '10'], ['210-270', 'Walk Around/Recover', '2-3'], ['270-300', 'Jumping Lunges', '10']]}, {'title': 'Workouts', 'content': [[], ['1A. Incline Dumbbell Press', '3-4', '6-8'], ['1B. Chin-Ups', '3-4', '6-8'], ['2A. Flat Dumbbell Fly', '2-3', '10-12'], ['2B. Lat Pulldowns', '2-3', '10-12'], ['3A. Seated Cable Rows', '2-3', '10-12'], ['3B. Push-Ups', '1', 'Max']]}, {'title': 'Workouts', 'content': [[], ['1A. Barbell Squats', '3-4', '6-8'], ['1B. Dumbbell Lunges', '3-4', '6-8'], ['2A. Lying Hamstring Curls', '2-3', '10-12'], ['2B. Leg Press', '2-3', '10-12'], ['2C. Standing Calf Raises', '2-3', '12-15']]}, {'title': 'Workouts', 'content': [[], ['1A. Dumbbell Shoulder Press', '3-4', '6-8'], ['1B. Lateral Dumbbell Raise', '3-4', '6-8'], ['2A. Triceps Pushdown', '2-3', '10-12'], ['2B. Barbell Curl', '2-3', '10-12'], ['3A. Dips', '2-3', '12-15'], ['3B. Alternating Dumbbell Curls', '2-3', '12-15']]}]",Lose Fat,Split,Advanced,12 weeks,4,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Fish Oil"
5 Day Super Shredding Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/25-doug--s-super-shredding-routine.html,"[{'title': 'Monday - Shoulders', 'content': [[], ['Dumbbell Press', '8', '8'], ['Dumbbell Side Laterals', '8', '8'], ['Rear Delt Fly', '8', '8'], ['Barbell Upright Row', '8', '8']]}, {'title': 'Tuesday - Arms', 'content': [[], ['Barbell Preacher Curl', '8', '8'], ['Seated Dumbbell Curl (alternate arms)', '8', '8'], ['EZ Bar Close Grip Bench', '8', '8'], ['Seated Dumbbell Extension (2 arm)', '8', '8']]}, {'title': 'Wednesday - Legs', 'content': [[], ['Hack Squats', '8', '8'], ['Leg Extension', '8', '8'], ['Leg Curl', '8', '8'], ['Dumbbell Stiff Leg Deadlifts', '8', '8'], ['Seated Calf Raise', '8', '8']]}, {'title': 'Thursday - Back', 'content': [[], ['Barbell Rows', '8', '8'], ['Lat Pull Down', '8', '8'], ['V-Bar Pull Down', '8', '8'], ['Hyper Extension', '8', '8']]}, {'title': 'Friday - Chest', 'content': [[], ['Flat Dumbbell Press', '8', '8'], ['Incline Dumbbell Press', '8', '8'], ['Incline Flys', '8', '8'], ['Cable Crossover', '8', '8']]}, {'title': 'Abs (After Every Workout)', 'content': [[], ['Weighted Crunches*', '8', '8'], ['Machine Seated Knee Raises**', '8', '8'], ['Machine Twisting Crunches*', '8', '8']]}]",Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Dumbbells, Kettle Bells",Male & Female,
6 Week High-Intensity Functional Training Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workout/6-week-high-intensity-functional-training-workout,"[{'title': 'Day 1: Chest & Triceps', 'content': [[], ['Flat Dumbbell Bench', '4', '15', '1 min'], ['Incline Dumbbell Bench', '4', '12', '1 min'], ['Narrow Push Up', '4', '12', '1 min'], ['Dumbbell Kickbacks', '4', '12', '1 min'], ['Dumbbell Pec Fly', '4', '12', '1 min'], ['Bench Dips', '4', '15', '1 min'], ['Glute Bridge Single-Arm Kettlebell Bench Press', '4', '12', '1 min']]}, {'title': 'Day 2: HIFT', 'content': [[], ['Wall Balls', '85%', '20'], ['Kettlebell Swings', '85%', '15'], ['Run', '65-75%', '400 meters']]}, {'title': 'Day 3: Back & Biceps', 'content': [[], ['Single-Arm Kettlebell Row', '65-75%', '4', '12', '1 min'], ['Bicep Hammer Curls', '65-75%', '4', '10', '1 min'], ['Single-Arm Incline Row', '65-75%', '4', '12', '1 min'], ['Bent Over Kettlebell Row', '65-75%', '4', '10', '1 min'], ['Dumbbell Rear Delt Fly', '65-75%', '4', '12', '1 min'], ['Pull Ups', '-', '3', 'Failure', '3 min'], ['Resistance Band Bicep Curls', '-', '3', 'Failure', '2 min']]}, {'title': 'Day 4: HIFT', 'content': [[], ['Power Snatch or Single Arm Dumbbell Snatch', '65-75%', '10'], ['Kettle Bell Hollow Holds', '85%', '30 sec'], ['Double/Single Unders', '-', '30 sec']]}, {'title': 'Day 5: Legs & Shoulders', 'content': [[], ['Front Rack Kettlebell Reverse Lunge', '65-75%', '4', '12', '2 min'], ['Front Rack Kettlebell Squats', '65-75%', '4', '10', '2 min'], ['Kettlebell Suitcase Deadlift', '65-75%', '4', '10', '2 min'], ['Single-Arm Kettlebell Strict Press', '65-75%', '4', '12', '1 min'], ['Barbell Shoulder Press', '65-75%', '4', '10', '2 min'], ['Resistance Band Front Raise', '-', '3', 'Failure', '1 min'], ['Resistance Band Lateral Raise', '-', '3', 'Failure', '1 min']]}, {'title': 'Day 6: HIFT', 'content': [[], ['Kettlebell Push Press', '10'], ['Box Jumps', '8'], ['Mountain Climbers', '10']]}, {'title': 'Strength Ladder', 'content': [[], ['Deadlift', '8', '12, 10, 8, 5, 5, 4, 8, 10'], ['Squats', '8', '12, 10, 8, 5, 5, 4, 8, 10']]}, {'title': 'Strength Ladder', 'content': [[], ['Kre-Alkalyn', 'X', 'X', ''], ['Citrulline Malate', 'X', 'X', 'X'], ['Beta-Alanine', 'X', 'X', ''], ['Clean Carbs', 'X', 'X', 'X'], ['Whey Protein Isolate/Plant Protein', 'X', '', 'X'], ['L-Glutamine', '', '', 'X'], ['BCAA', 'X', 'X', 'X']]}]",Lose Fat,Split,Intermediate,8 weeks,5,60-90 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Protein Powder, Pre-Workout (optional), BCAAs (optional)"
Fat Loss Inferno: 5 Day Workout to Get Ripped,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/fat-loss-inferno-5-day-workout,"[{'title': 'Monday: Legs (Quad Dominant)', 'content': [[], ['Back Squat', '5', '8'], ['Leg Press', '4', '10-12'], ['Bulgarian Split Squat', '3', '10-12 Each'], ['Leg Curl', '3', '10-15'], ['Seated Calf Raise', '3', '20-25']]}, {'title': 'Tuesday: Pull Workout (Mid/Upper Back Focused)', 'content': [[], ['T Bar Row', '5', '8'], ['Close Grip Lat Pull Down', '4', '8-12'], ['Cable Row', '3', '10-12'], ['Preacher Curls', '3', '10-12'], ['Incline Dumbbell Curls', '3', '10-12']]}, {'title': 'Wednesday: Push Workout (Shoulder Focused)', 'content': [[], ['Standing Dumbbell Press', '5', '8'], ['Leaning Lateral Raise', '4', '8-12'], ['Machine Shoulder Press', '3', '8-12'], ['Dumbbell Incline Bench Press', '3', '12'], ['Rope Tricep Extension', '3', '10-12'], ['Overhead Dumbbell Extension', '3', '10-12']]}, {'title': 'Friday: Leg Workout (Hamstring Focused)', 'content': [[], ['Dumbbell Romanian Deadlift', '5', '8'], ['Reverse Hack Squat', '4', '8-12'], ['Walking Lunge', '3', '12-15 Each'], ['Leg Curl', '3', '10-12'], ['Seated Calf Raise', '3', '20-25']]}, {'title': 'Saturday: Chest/Back Supersets', 'content': [[], ['A1. Dumbbell Bench Press', '4', '8'], ['A2. Dumbbell Row', '4', '8'], ['B1. Lat Pull Down', '4', '8-12'], ['B2. Push Up', '4', '12-15'], ['C1. Machine Fly', '3', '12'], ['C2. Reverse Machine Fly', '3', '12']]}]",Lose Fat,Full Body,Beginner,4 weeks,6,30-45 minutes,Bodyweight,Male & Female,"Protein Powder, BCAAs"
Extreme Fat Loss: 6 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/6-week-extreme-fat-loss-workout,"[{'title': 'Day 1: Full Body Fat Loss Circuit', 'content': [[], ['A1. Pull Up', '3', '8'], ['A2. Push Up', '3', '10'], ['A3. Bodyweight Squat', '3', '10'], ['A4. Dip', '3', '10'], ['A5. Chin Up', '3', '8'], ['A6. Bodyweight Rear Lunge', '3', '15 Each'], ['B1. Dumbbell Shoulder Press', '3', '8'], ['B2. Dumbbell Row', '3', '8'], ['B3. Dumbbell Stiff Leg Deadlift', '3', '8'], ['Plank', '3', '45 Secs']]}, {'title': 'Day 2: Full Body Fat Loss Circuit', 'content': [[], ['A1. Barbell Good Morning', '4', '8'], ['A2. Barbell Lunge', '4', '8'], ['A3. Barbell Squat', '4', '8'], ['A4. Barbell Push Press', '4', '8'], ['B1. Dumbbell Bench Press', '3', '10'], ['B2. Dumbbell Row', '3', '10'], ['B3. Dumbbell Shrug', '3', '10'], ['Machine Ab Crunch', '5', '12']]}, {'title': 'Day 3: Full Body Fat Loss Circuit', 'content': [[], ['A1. Pull Up', '3', '6'], ['A2. Dip', '3', '6'], ['A3. Chin Up', '3', '6'], ['A4. Push Up', '3', '10'], ['B1. Dumbbell Goblet Squat', '4', '8'], ['B2. Dumbbell Shoulder Press', '4', '8'], ['B3. Dumbbell RDL', '4', '8'], ['B4. Dumbbell Glute Bridge', '4', '8'], ['Hanging Leg Raise', '3', '12']]}]",General Fitness,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Dumbbells, Kettle Bells, Other",Male & Female,"Whey Protein Isolate, Creatine Monohydrate, Fat Burner (optional), Fish Oil"
Adonis Creed Inspired Workout: Shred Fat like a Contender,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/creed-workout-program,"[{'title': 'Adonis Creed Workout Day 1: Pull Strength Workout', 'content': [[], ['1. Deadlift', '4', '3-5'], ['2. Bent Over Row', '4', '5'], ['3. Weighted Chin Up', '3', '6'], ['4. Dumbbell Row', '3', '8'], ['5. Face Pull', '3', '12'], ['6. Barbell Curl', '4', '10']]}, {'title': 'Adonis Creed Workout Day 2: Push Strength Workout', 'content': [[], ['1. Bench Press', '4', '3-5'], ['2. Seated Military Press', '4', '5'], ['3. Weighted Dips', '3', '6'], ['4. Pec Dec Fly', '3', '12'], ['5. Lateral Raise', '3', '12'], ['6. Tricep Rope Extension', '4', '12']]}, {'title': 'Adonis Creed Workout Day 3: Legs Strength Workout', 'content': [[], ['1. Barbell Squat', '4', '3-5'], ['2. Dumbbell Stiff Leg Deadlift', '4', '5'], ['3. Leg Press', '3', '6'], ['4. Hip Thrust', '3', '8'], ['5. Leg Extension', '3', '12'], ['6. Standing Calf Raise', '4', '15']]}, {'title': 'Adonis Creed Workout Day 4: Push Muscle Building Workout', 'content': [[], ['1. Standing Dumbbell Shoulder Press', '4', '8'], ['2. Push Ups', '4', '12'], ['3. Cable Lateral Raise', '3', '15'], ['4. Dumbbell Incline Bench Press', '3', '15'], ['5. Triceps Dips', '3', '15'], ['6. Skullcrushers', '3', '12']]}, {'title': 'Adonis Creed Workout Day 5: Legs Muscle Building Workout', 'content': [[], ['1. Front Squat', '4', '8'], ['2. Trap Bar Deadlift', '4', '12'], ['3. Dumbbell Lunge', '3', '12 Each'], ['4. Hyperextensions (Glute)', '3', '15'], ['5. Leg Curl', '3', '12'], ['6. Seated Calf Raise', '3', '20']]}, {'title': 'Adonis Creed Workout Day 6: Pull Muscle Building Workout', 'content': [[], ['1. Pull Ups', '3', '12'], ['2. Inverted Rows', '3', '15'], ['3. Seated Cable Row', '3', '12'], ['4. Lat Pull Down', '3', '12'], ['5. Dumbbell Curl', '3', '15'], ['6. Preacher Curl', '3', '12']]}, {'title': 'Creed Ab Workout Routine', 'content': [[], ['Plank', '4', '30 Secs'], ['Ab Crunch', '4', '15'], ['Scissor Kicks', '4', '12 Each'], ['Bicycle', '4', '15 Each'], ['Lying Leg Raise', '4', '12'], ['Sit Up', '4', '15']]}]",Lose Fat,Split,Intermediate,12 weeks,5,45-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male,"Muscle Infusion Protein, Outlift Preworkout, Postlift Postworkout, Lipo-6 Black Fat Burner"
Doug's 4 Day Mega Cutting Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/23-doug--s-mega-cutting-routine.html,"[{'title': 'Monday - Shoulders and Triceps', 'content': [[], ['Seated Dumbbell Press - (15, 12*)', '4', '12, 10, 8, 8'], ['A1. Dumbbell Lateral Raise', '3', '10-12'], ['A2. Dumbbell Reverse Fly', '3', '10-12'], ['A3. Dumbbell Shrugs', '3', '10-12'], ['EZ Bar Close Grip Bench - (15, 12*)', '4', '12, 10, 8, 8'], ['B1. Dumbbell Kickbacks', '3', '10-12'], ['B2. Overhead Rope Extension', '3', '10-12'], ['B3. Narrow Grip Pushups', '3', 'Failure']]}, {'title': 'Tuesday - Back', 'content': [[], ['Reverse Grip Bent Over Row (15*, 12*)', '4', '12, 10, 8, 8'], ['A1. Wide Grip Pull Down', '3', '10-12'], ['A2. 1 Arm Cable Row', '3', '8'], ['A3. Hyper Extensions', '3', '12-15']]}, {'title': 'Thursday - Chest and Biceps', 'content': [[], ['Incline Dumbbell Press - (15, 12*)', '4', '12, 8, 8, 8'], ['A1. Pec Dec', '3', '10-12'], ['A2. Dumbbell Flys', '3', '10-12'], ['A3. Push Ups', '3', 'Failure'], ['Dumbbell Curl - (15, 12*)', '4', '12, 10, 8, 8'], ['B1. EZ Bar Curl', '3', '10-12'], ['B2. Dumbbell Reverse Curl', '3', '10-12'], ['B3. Rope Curl', '3', '10-12']]}, {'title': 'Friday - Legs and Calves', 'content': [[], ['Squats - (15, 12*)', '5', '12, 10, 8, 8, 8'], ['A1. Wall Squat', '3', '12-15'], ['A2. Leg Extension', '3', '12-15'], ['A3. Sissy Squat', '3', '20-25'], ['Leg Curls - (12, 15*)', '4', '12, 10, 10, 10'], ['Straight Leg Deadlifts', '3', '15, 12, 10'], ['Seated Calf Raise - (10, 12*)', '3', '12, 10, 10'], ['Standing Calf Raise', '3', '20, 15, 15']]}]",Lose Fat,Split,Beginner,12 weeks,5,30-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Medicine Ball",Male & Female,"Gold Standard Whey, Gold Standard Pre-Workout, Amino Energy, Creatine, ZMA, Gold Standard Casein"
12 Week Total Fat Annihilation Workout Plan,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/12-week-fat-annihilation-workout,"[{'title': 'Fat Loss (Upper Body) Workout 1', 'content': [[], ['A1. Dumbbell Bench Press', '4', '8-10'], ['A2. Dumbbell Incline Bench Press', '4', '8-10'], ['A3. Push Up', '4', 'Mechanical Failure'], ['B1. Dumbbell Row', '4', '8-12'], ['B2. Seated Cable Row', '4', '8-12'], ['B3. Pull Up', '4', 'Mechanical Failure'], ['C1. Lateral Raise', '2', '10-12'], ['C2. Front Raise', '2', '10-12'], ['C3. Rear Delt Raise', '2', '10-12'], ['Farmers Carry', '5', '20 Yards'], ['Oblique Crunch', '2', '15 Each'], ['Hanging Knee Raise', '2', '12']]}, {'title': 'Fat Loss (Lower Body) Workout 2', 'content': [[], ['A1. Front Squat', '4', '8-10'], ['A2. Goblet Squat', '4', '8-10'], ['A3. Rear Bodyweight Lunge', '4', 'Mechanical Failure'], ['B1. Dumbbell Stiff Leg Deadlift', '4', '8-10'], ['B2. Leg Curl', '4', '8-10'], ['B3. Bodyweight Glute Bridge', '4', 'Mechanical Failure'], ['C1. Standing Calf Raise', '4', '20'], ['C2. Seated Calf Raise', '4', '10'], ['Farmers Carry', '5', '20 Yards'], ['Ab Crunch', '2', '20'], ['Reverse Crunch', '2', '20']]}, {'title': 'Fat Loss (Full Body) Workout 3', 'content': [[], ['A1. Dumbbell Squat', '3', '10'], ['A2. Dumbbell Shoulder Press', '3', '10'], ['B1. Goblet Squat', '3', '12 Each'], ['B2. Lat Pull Down', '3', '12'], ['C1. Landmine Romanian Deadlift', '3', '12'], ['C2. Landmine T-Bar Row', '3', '12'], ['D1. EZ Bar Curl', '3', '10'], ['D2. Skullcrushers', '3', '10'], ['Farmers Walk', '4', '60 Secs'], ['Plank', '3', '30 Secs'], ['Side Plank', '3', '30 Secs Each']]}, {'title': 'Fat Loss (Full Body) Workout 4', 'content': [[], ['A1. Conventional Deadlift', '3', '10'], ['A2. Push Up', '3', '12'], ['B1. Leg Press', '3', '12'], ['B2. Pull Up', '3', '12'], ['C1. Hack Squat', '3', '12'], ['C2. Inverted Row', '3', '12'], ['D1. Cable Curl', '3', '12'], ['D2. Tricep Extension', '3', '12'], ['Farmers Walk', '4', '60 Secs'], ['Hanging Leg Raise', '2', '12'], ['Russian Twist', '2', '12 Each']]}]",Lose Fat,Split,Intermediate,10 weeks,4,60-90 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Protein Powder, Protein Bars, Greens Supplement"
